Rank,Team,Rating,Month,Year
8,South Africa,94,4,1993
9,Zimbabwe,27,4,1993
1,Australia,112,5,1993
2,West Indies,109,5,1993
3,England,101,5,1993
4,Pakistan,98,5,1993
5,India,98,5,1993
6,New Zealand,98,5,1993
7,Sri Lanka,95,5,1993
8,South Africa,94,5,1993
9,Zimbabwe,27,5,1993
1,West Indies,113,6,1993
2,Australia,108,6,1993
3,Sri Lanka,101,6,1993
4,England,100,6,1993
5,India,99,6,1993
6,New Zealand,98,6,1993
7,Pakistan,96,6,1993
8,South Africa,95,6,1993
9,Zimbabwe,27,6,1993
1,West Indies,113,7,1993
2,Australia,108,7,1993
3,Sri Lanka,103,7,1993
4,England,100,7,1993
5,South Africa,99,7,1993
6,New Zealand,98,7,1993
7,Pakistan,96,7,1993
8,India,95,7,1993
9,Zimbabwe,27,7,1993
1,West Indies,115,8,1993
2,Australia,108,8,1993
3,Sri Lanka,104,8,1993
4,England,100,8,1993
5,New Zealand,98,8,1993
6,Pakistan,96,8,1993
7,South Africa,96,8,1993
8,India,95,8,1993
9,Zimbabwe,27,8,1993
1,West Indies,114,9,1993
2,Australia,108,9,1993
3,Sri Lanka,100,9,1993
4,England,100,9,1993
5,Pakistan,99,9,1993
6,New Zealand,98,9,1993
7,South Africa,96,9,1993
8,India,95,9,1993
9,Zimbabwe,27,9,1993
1,West Indies,115,10,1993
2,Australia,105,10,1993
3,India,101,10,1993
4,South Africa,100,10,1993
5,Pakistan,100,10,1993
6,England,100,10,1993
7,New Zealand,98,10,1993
8,Sri Lanka,89,10,1993
9,Zimbabwe,29,10,1993
1,West Indies,113,0,1994
2,Australia,111,0,1994
3,Pakistan,101,0,1994
4,India,101,0,1994
5,England,100,0,1994
6,New Zealand,99,0,1994
7,South Africa,93,0,1994
8,Sri Lanka,91,0,1994
9,Zimbabwe,26,0,1994
1,West Indies,113,1,1994
2,Australia,109,1,1994
3,India,102,1,1994
4,Pakistan,101,1,1994
5,England,100,1,1994
6,New Zealand,97,1,1994
7,South Africa,96,1,1994
8,Sri Lanka,90,1,1994
9,Zimbabwe,26,1,1994
1,West Indies,114,2,1994
2,Australia,105,2,1994
3,South Africa,101,2,1994
4,Pakistan,101,2,1994
5,India,101,2,1994
6,England,99,2,1994
7,New Zealand,97,2,1994
8,Sri Lanka,91,2,1994
9,Zimbabwe,26,2,1994
1,West Indies,113,3,1994
2,Australia,105,3,1994
3,Pakistan,102,3,1994
4,England,101,3,1994
5,South Africa,101,3,1994
6,India,100,3,1994
7,New Zealand,95,3,1994
8,Sri Lanka,91,3,1994
9,Zimbabwe,26,3,1994
1,West Indies,113,4,1994
2,Australia,108,4,1994
3,Pakistan,105,4,1994
4,England,103,4,1994
5,South Africa,99,4,1994
6,India,99,4,1994
7,New Zealand,93,4,1994
8,Sri Lanka,88,4,1994
9,Zimbabwe,26,4,1994
1,West Indies,114,5,1994
2,Pakistan,109,5,1994
3,Australia,107,5,1994
4,South Africa,101,5,1994
5,India,100,5,1994
6,England,96,5,1994
7,New Zealand,91,5,1994
8,Sri Lanka,88,5,1994
9,Zimbabwe,26,5,1994
1,West Indies,114,6,1994
2,Pakistan,111,6,1994
3,Australia,107,6,1994
4,England,106,6,1994
5,India,97,6,1994
6,South Africa,96,6,1994
7,New Zealand,91,6,1994
8,Sri Lanka,89,6,1994
9,Zimbabwe,26,6,1994
1,West Indies,114,7,1994
2,Australia,106,7,1994
3,Pakistan,106,7,1994
4,England,106,7,1994
5,India,102,7,1994
6,South Africa,94,7,1994
7,Sri Lanka,93,7,1994
8,New Zealand,91,7,1994
9,Zimbabwe,26,7,1994
1,West Indies,114,8,1994
2,Australia,110,8,1994
3,Pakistan,108,8,1994
4,England,106,8,1994
5,India,105,8,1994
6,Sri Lanka,93,8,1994
7,New Zealand,88,8,1994
8,South Africa,87,8,1994
9,Zimbabwe,26,8,1994
1,India,114,9,1994
2,Australia,110,9,1994
3,Pakistan,108,9,1994
4,West Indies,106,9,1994
5,England,106,9,1994
6,Sri Lanka,90,9,1994
7,South Africa,87,9,1994
8,New Zealand,86,9,1994
9,Zimbabwe,33,9,1994
1,India,114,0,1995
2,Australia,112,0,1995
3,Pakistan,110,0,1995
4,West Indies,106,0,1995
5,England,96,0,1995
6,South Africa,92,0,1995
7,Sri Lanka,90,0,1995
8,New Zealand,78,0,1995
9,Zimbabwe,38,0,1995
1,India,114,1,1995
2,Australia,111,1,1995
3,West Indies,108,1,1995
4,Pakistan,106,1,1995
5,England,100,1,1995
6,South Africa,94,1,1995
7,Sri Lanka,90,1,1995
8,New Zealand,76,1,1995
9,Zimbabwe,38,1,1995
1,India,110,2,1995
2,West Indies,110,2,1995
3,Australia,109,2,1995
4,Pakistan,104,2,1995
5,England,100,2,1995
6,South Africa,94,2,1995
7,Sri Lanka,90,2,1995
8,New Zealand,80,2,1995
9,Zimbabwe,46,2,1995
1,West Indies,112,3,1995
2,India,110,3,1995
3,Australia,107,3,1995
4,Pakistan,104,3,1995
5,England,100,3,1995
6,South Africa,94,3,1995
7,Sri Lanka,88,3,1995
8,New Zealand,82,3,1995
9,Zimbabwe,46,3,1995
1,West Indies,113,4,1995
2,India,110,4,1995
3,Australia,107,4,1995
4,Pakistan,104,4,1995
5,England,98,4,1995
6,South Africa,94,4,1995
7,Sri Lanka,88,4,1995
8,New Zealand,82,4,1995
9,Zimbabwe,46,4,1995
1,India,114,5,1995
2,England,113,5,1995
3,West Indies,108,5,1995
4,Australia,107,5,1995
5,Pakistan,105,5,1995
6,South Africa,93,5,1995
7,Sri Lanka,86,5,1995
8,New Zealand,79,5,1995
9,Zimbabwe,52,5,1995
1,India,114,6,1995
2,England,113,6,1995
3,West Indies,108,6,1995
4,Australia,107,6,1995
5,Pakistan,106,6,1995
6,South Africa,93,6,1995
7,Sri Lanka,84,6,1995
8,New Zealand,79,6,1995
9,Zimbabwe,52,6,1995
1,India,114,7,1995
2,England,113,7,1995
3,West Indies,108,7,1995
4,Australia,107,7,1995
5,Pakistan,103,7,1995
6,South Africa,93,7,1995
7,Sri Lanka,87,7,1995
8,New Zealand,79,7,1995
9,Zimbabwe,52,7,1995
1,England,113,8,1995
2,India,109,8,1995
3,Australia,107,8,1995
4,West Indies,104,8,1995
5,Pakistan,100,8,1995
6,South Africa,94,8,1995
7,Sri Lanka,94,8,1995
8,New Zealand,84,8,1995
9,Zimbabwe,50,8,1995
1,England,113,9,1995
2,India,109,9,1995
3,Australia,107,9,1995
4,West Indies,104,9,1995
5,Pakistan,101,9,1995
6,South Africa,94,9,1995
7,Sri Lanka,94,9,1995
8,New Zealand,82,9,1995
9,Zimbabwe,50,9,1995
1,Australia,113,0,1996
2,England,113,0,1996
3,India,109,0,1996
4,Pakistan,98,0,1996
5,West Indies,97,0,1996
6,Sri Lanka,95,0,1996
7,South Africa,94,0,1996
8,New Zealand,86,0,1996
9,Zimbabwe,50,0,1996
1,Australia,110,1,1996
2,India,109,1,1996
3,South Africa,104,1,1996
4,West Indies,100,1,1996
5,Pakistan,98,1,1996
6,Sri Lanka,94,1,1996
7,England,89,1,1996
8,New Zealand,84,1,1996
9,Zimbabwe,54,1,1996
1,Australia,112,2,1996
2,India,109,2,1996
3,South Africa,107,2,1996
4,West Indies,99,2,1996
5,Pakistan,97,2,1996
6,Sri Lanka,95,2,1996
7,New Zealand,85,2,1996
8,England,84,2,1996
9,Zimbabwe,52,2,1996
1,Australia,110,3,1996
2,South Africa,106,3,1996
3,India,106,3,1996
4,West Indies,101,3,1996
5,Sri Lanka,101,3,1996
6,Pakistan,97,3,1996
7,New Zealand,83,3,1996
8,England,80,3,1996
9,Zimbabwe,52,3,1996
1,South Africa,112,4,1996
2,Australia,110,4,1996
3,Sri Lanka,100,4,1996
4,India,100,4,1996
5,West Indies,99,4,1996
6,Pakistan,98,4,1996
7,New Zealand,84,4,1996
8,England,84,4,1996
9,Zimbabwe,52,4,1996
1,South Africa,118,5,1996
2,Australia,112,5,1996
3,Sri Lanka,104,5,1996
4,West Indies,96,5,1996
5,India,95,5,1996
6,Pakistan,94,5,1996
7,New Zealand,84,5,1996
8,England,82,5,1996
9,Zimbabwe,54,5,1996
1,South Africa,118,6,1996
2,Australia,109,6,1996
3,Sri Lanka,108,6,1996
4,West Indies,96,6,1996
5,India,94,6,1996
6,England,91,6,1996
7,Pakistan,89,6,1996
8,New Zealand,84,6,1996
9,Zimbabwe,52,6,1996
1,South Africa,116,7,1996
2,Sri Lanka,112,7,1996
3,Australia,109,7,1996
4,West Indies,96,7,1996
5,Pakistan,92,7,1996
6,India,90,7,1996
7,England,87,7,1996
8,New Zealand,84,7,1996
9,Zimbabwe,52,7,1996
1,South Africa,124,8,1996
2,Sri Lanka,110,8,1996
3,Australia,102,8,1996
4,West Indies,96,8,1996
5,Pakistan,94,8,1996
6,India,90,8,1996
7,England,87,8,1996
8,New Zealand,84,8,1996
9,Zimbabwe,51,8,1996
1,South Africa,121,9,1996
2,Sri Lanka,106,9,1996
3,Australia,99,9,1996
4,Pakistan,99,9,1996
5,West Indies,96,9,1996
6,India,94,9,1996
7,England,87,9,1996
8,New Zealand,82,9,1996
9,Zimbabwe,50,9,1996
1,South Africa,119,0,1997
2,Sri Lanka,106,0,1997
3,Australia,99,0,1997
4,Pakistan,99,0,1997
5,India,97,0,1997
6,West Indies,95,0,1997
7,New Zealand,83,0,1997
8,England,82,0,1997
9,Zimbabwe,55,0,1997
1,South Africa,121,1,1997
2,Sri Lanka,106,1,1997
3,Pakistan,100,1,1997
4,West Indies,97,1,1997
5,Australia,96,1,1997
6,India,94,1,1997
7,New Zealand,83,1,1997
8,England,73,1,1997
9,Zimbabwe,63,1,1997
1,South Africa,122,2,1997
2,Sri Lanka,106,2,1997
3,Pakistan,100,2,1997
4,West Indies,97,2,1997
5,Australia,96,2,1997
6,India,90,2,1997
7,New Zealand,81,2,1997
8,England,77,2,1997
9,Zimbabwe,69,2,1997
1,South Africa,122,3,1997
2,Sri Lanka,105,3,1997
3,Pakistan,100,3,1997
4,Australia,97,3,1997
5,West Indies,97,3,1997
6,India,90,3,1997
7,New Zealand,84,3,1997
8,England,75,3,1997
9,Zimbabwe,69,3,1997
1,South Africa,117,4,1997
2,Sri Lanka,106,4,1997
3,Australia,101,4,1997
4,West Indies,99,4,1997
5,Pakistan,98,4,1997
6,India,89,4,1997
7,New Zealand,84,4,1997
8,England,75,4,1997
9,Zimbabwe,70,4,1997
1,South Africa,117,5,1997
2,Sri Lanka,107,5,1997
3,West Indies,100,5,1997
4,Pakistan,97,5,1997
5,Australia,96,5,1997
6,India,88,5,1997
7,England,84,5,1997
8,New Zealand,83,5,1997
9,Zimbabwe,70,5,1997
1,South Africa,117,6,1997
2,Sri Lanka,108,6,1997
3,West Indies,100,6,1997
4,Pakistan,97,6,1997
5,Australia,96,6,1997
6,India,88,6,1997
7,England,84,6,1997
8,New Zealand,83,6,1997
9,Zimbabwe,70,6,1997
1,South Africa,121,7,1997
2,Sri Lanka,113,7,1997
3,West Indies,100,7,1997
4,Pakistan,97,7,1997
5,Australia,93,7,1997
6,New Zealand,85,7,1997
7,India,83,7,1997
8,England,80,7,1997
9,Zimbabwe,72,7,1997
1,South Africa,121,8,1997
2,Sri Lanka,115,8,1997
3,West Indies,100,8,1997
4,Pakistan,96,8,1997
5,Australia,93,8,1997
6,New Zealand,85,8,1997
7,India,83,8,1997
8,England,80,8,1997
9,Zimbabwe,72,8,1997
1,South Africa,121,9,1997
2,Sri Lanka,115,9,1997
3,West Indies,100,9,1997
4,Australia,93,9,1997
5,Pakistan,92,9,1997
6,India,87,9,1997
7,New Zealand,84,9,1997
8,England,80,9,1997
9,Zimbabwe,73,9,1997
1,South Africa,128,10,1997
2,Sri Lanka,123,10,1997
3,West Indies,105,10,1997
4,Australia,100,10,1997
5,Pakistan,100,10,1997
6,India,93,10,1997
7,New Zealand,90,10,1997
8,Zimbabwe,88,10,1997
9,England,87,10,1997
1,South Africa,134,11,1997
2,Sri Lanka,121,11,1997
3,West Indies,101,11,1997
4,Pakistan,100,11,1997
5,Australia,99,11,1997
6,India,93,11,1997
7,New Zealand,90,11,1997
8,Zimbabwe,88,11,1997
9,England,87,11,1997
1,South Africa,132,0,1998
2,Sri Lanka,119,0,1998
3,England,102,0,1998
4,Australia,102,0,1998
5,West Indies,100,0,1998
6,Pakistan,99,0,1998
7,India,91,0,1998
8,New Zealand,90,0,1998
9,Zimbabwe,88,0,1998
1,South Africa,130,1,1998
2,Sri Lanka,121,1,1998
3,Australia,104,1,1998
4,England,102,1,1998
5,West Indies,100,1,1998
6,Pakistan,97,1,1998
7,India,94,1,1998
8,New Zealand,92,1,1998
9,Zimbabwe,85,1,1998
10,Bangladesh,13,1,1998
1,South Africa,130,2,1998
2,Sri Lanka,121,2,1998
3,Australia,103,2,1998
4,England,102,2,1998
5,West Indies,100,2,1998
6,Pakistan,97,2,1998
7,India,94,2,1998
8,New Zealand,93,2,1998
9,Zimbabwe,85,2,1998
10,Bangladesh,13,2,1998
1,South Africa,130,3,1998
2,Sri Lanka,121,3,1998
3,England,104,3,1998
4,Australia,101,3,1998
5,West Indies,99,3,1998
6,Pakistan,98,3,1998
7,New Zealand,95,3,1998
8,India,95,3,1998
9,Zimbabwe,81,3,1998
10,Bangladesh,13,3,1998
1,South Africa,132,4,1998
2,Sri Lanka,118,4,1998
3,West Indies,105,4,1998
4,Australia,105,4,1998
5,Pakistan,99,4,1998
6,India,96,4,1998
7,England,95,4,1998
8,New Zealand,93,4,1998
9,Zimbabwe,77,4,1998
10,Bangladesh,12,4,1998
1,South Africa,131,5,1998
2,Sri Lanka,116,5,1998
3,West Indies,105,5,1998
4,Australia,105,5,1998
5,Pakistan,99,5,1998
6,England,97,5,1998
7,India,96,5,1998
8,New Zealand,93,5,1998
9,Zimbabwe,77,5,1998
10,Kenya,44,5,1998
11,Bangladesh,16,5,1998
1,South Africa,131,6,1998
2,Sri Lanka,117,6,1998
3,West Indies,105,6,1998
4,Australia,105,6,1998
5,Pakistan,99,6,1998
6,England,97,6,1998
7,India,96,6,1998
8,New Zealand,92,6,1998
9,Zimbabwe,77,6,1998
10,Kenya,44,6,1998
11,Bangladesh,16,6,1998
1,South Africa,130,7,1998
2,Sri Lanka,115,7,1998
3,West Indies,107,7,1998
4,Australia,104,7,1998
5,England,102,7,1998
6,Pakistan,98,7,1998
7,India,98,7,1998
8,New Zealand,91,7,1998
9,Zimbabwe,78,7,1998
10,Kenya,44,7,1998
11,Bangladesh,15,7,1998
1,South Africa,128,8,1998
2,Sri Lanka,117,8,1998
3,West Indies,107,8,1998
4,Australia,104,8,1998
5,England,103,8,1998
6,India,100,8,1998
7,Pakistan,96,8,1998
8,New Zealand,91,8,1998
9,Zimbabwe,78,8,1998
10,Kenya,44,8,1998
11,Bangladesh,15,8,1998
1,South Africa,128,9,1998
2,Sri Lanka,117,9,1998
3,West Indies,107,9,1998
4,Australia,104,9,1998
5,England,103,9,1998
6,Pakistan,102,9,1998
7,India,95,9,1998
8,New Zealand,93,9,1998
9,Zimbabwe,77,9,1998
10,Kenya,44,9,1998
11,Bangladesh,15,9,1998
1,South Africa,132,10,1998
2,Sri Lanka,117,10,1998
3,West Indies,111,10,1998
4,Australia,101,10,1998
5,England,101,10,1998
6,Pakistan,100,10,1998
7,India,95,10,1998
8,New Zealand,92,10,1998
9,Zimbabwe,77,10,1998
10,Kenya,44,10,1998
11,Bangladesh,15,10,1998
1,South Africa,132,0,1999
2,West Indies,111,0,1999
3,Sri Lanka,107,0,1999
4,Australia,106,0,1999
5,England,101,0,1999
6,Pakistan,97,0,1999
7,India,97,0,1999
8,New Zealand,94,0,1999
9,Zimbabwe,83,0,1999
10,Kenya,44,0,1999
11,Bangladesh,15,0,1999
1,South Africa,133,1,1999
2,Australia,109,1,1999
3,West Indies,108,1,1999
4,England,107,1,1999
5,Sri Lanka,102,1,1999
6,India,98,1,1999
7,Pakistan,97,1,1999
8,New Zealand,93,1,1999
9,Zimbabwe,83,1,1999
10,Kenya,44,1,1999
11,Bangladesh,15,1,1999
1,South Africa,130,2,1999
2,Australia,113,2,1999
3,West Indies,106,2,1999
4,Sri Lanka,102,2,1999
5,England,100,2,1999
6,New Zealand,98,2,1999
7,India,98,2,1999
8,Pakistan,97,2,1999
9,Zimbabwe,83,2,1999
10,Kenya,44,2,1999
11,Bangladesh,14,2,1999
1,South Africa,131,3,1999
2,Australia,113,3,1999
3,West Indies,106,3,1999
4,Sri Lanka,100,3,1999
5,England,100,3,1999
6,Pakistan,100,3,1999
7,India,98,3,1999
8,New Zealand,97,3,1999
9,Zimbabwe,85,3,1999
10,Kenya,43,3,1999
11,Bangladesh,8,3,1999
1,South Africa,131,4,1999
2,Australia,112,4,1999
3,West Indies,108,4,1999
4,Pakistan,101,4,1999
5,Sri Lanka,99,4,1999
6,India,98,4,1999
7,England,98,4,1999
8,New Zealand,97,4,1999
9,Zimbabwe,85,4,1999
10,Kenya,43,4,1999
11,Bangladesh,8,4,1999
1,South Africa,130,5,1999
2,Australia,111,5,1999
3,West Indies,106,5,1999
4,Pakistan,102,5,1999
5,India,98,5,1999
6,England,98,5,1999
7,Sri Lanka,98,5,1999
8,New Zealand,97,5,1999
9,Zimbabwe,87,5,1999
10,Kenya,39,5,1999
11,Bangladesh,12,5,1999
1,South Africa,130,6,1999
2,Australia,119,6,1999
3,West Indies,105,6,1999
4,Pakistan,102,6,1999
5,India,99,6,1999
6,New Zealand,98,6,1999
7,England,98,6,1999
8,Sri Lanka,92,6,1999
9,Zimbabwe,87,6,1999
10,Kenya,39,6,1999
11,Bangladesh,10,6,1999
1,South Africa,130,7,1999
2,Australia,120,7,1999
3,West Indies,107,7,1999
4,Pakistan,102,7,1999
5,New Zealand,98,7,1999
6,England,98,7,1999
7,India,97,7,1999
8,Sri Lanka,93,7,1999
9,Zimbabwe,85,7,1999
10,Kenya,39,7,1999
11,Bangladesh,10,7,1999
1,South Africa,128,8,1999
2,Australia,120,8,1999
3,Pakistan,106,8,1999
4,India,101,8,1999
5,West Indies,101,8,1999
6,New Zealand,98,8,1999
7,England,98,8,1999
8,Sri Lanka,93,8,1999
9,Zimbabwe,83,8,1999
10,Kenya,36,8,1999
11,Bangladesh,10,8,1999
1,South Africa,129,9,1999
2,Australia,121,9,1999
3,Pakistan,110,9,1999
4,New Zealand,101,9,1999
5,India,99,9,1999
6,West Indies,98,9,1999
7,England,98,9,1999
8,Sri Lanka,92,9,1999
9,Zimbabwe,82,9,1999
10,Kenya,36,9,1999
11,Bangladesh,8,9,1999
1,South Africa,129,10,1999
2,Australia,121,10,1999
3,Pakistan,110,10,1999
4,India,101,10,1999
5,England,98,10,1999
6,West Indies,98,10,1999
7,New Zealand,97,10,1999
8,Sri Lanka,93,10,1999
9,Zimbabwe,80,10,1999
10,Kenya,36,10,1999
11,Bangladesh,8,10,1999
1,South Africa,129,0,2000
2,Australia,121,0,2000
3,Pakistan,110,0,2000
4,India,101,0,2000
5,New Zealand,99,0,2000
6,England,98,0,2000
7,West Indies,97,0,2000
8,Sri Lanka,93,0,2000
9,Zimbabwe,80,0,2000
10,Kenya,36,0,2000
11,Bangladesh,8,0,2000
1,South Africa,127,1,2000
2,Australia,125,1,2000
3,Pakistan,110,1,2000
4,New Zealand,105,1,2000
5,England,99,1,2000
6,India,98,1,2000
7,Sri Lanka,93,1,2000
8,West Indies,92,1,2000
9,Zimbabwe,81,1,2000
10,Kenya,36,1,2000
11,Bangladesh,8,1,2000
1,Australia,128,2,2000
2,South Africa,126,2,2000
3,Pakistan,105,2,2000
4,New Zealand,101,2,2000
5,England,101,2,2000
6,Sri Lanka,98,2,2000
7,India,98,2,2000
8,West Indies,92,2,2000
9,Zimbabwe,81,2,2000
10,Kenya,36,2,2000
11,Bangladesh,8,2,2000
1,Australia,127,3,2000
2,South Africa,121,3,2000
3,Pakistan,107,3,2000
4,New Zealand,104,3,2000
5,England,101,3,2000
6,India,100,3,2000
7,Sri Lanka,98,3,2000
8,West Indies,93,3,2000
9,Zimbabwe,80,3,2000
10,Kenya,36,3,2000
11,Bangladesh,8,3,2000
1,Australia,125,4,2000
2,South Africa,122,4,2000
3,Pakistan,106,4,2000
4,New Zealand,104,4,2000
5,England,101,4,2000
6,India,100,4,2000
7,Sri Lanka,98,4,2000
8,West Indies,96,4,2000
9,Zimbabwe,78,4,2000
10,Kenya,36,4,2000
11,Bangladesh,7,4,2000
1,Australia,125,5,2000
2,South Africa,122,5,2000
3,Pakistan,106,5,2000
4,New Zealand,104,5,2000
5,England,101,5,2000
6,India,100,5,2000
7,Sri Lanka,99,5,2000
8,West Indies,96,5,2000
9,Zimbabwe,78,5,2000
10,Kenya,36,5,2000
11,Bangladesh,6,5,2000
1,Australia,125,6,2000
2,South Africa,122,6,2000
3,Pakistan,107,6,2000
4,New Zealand,104,6,2000
5,England,101,6,2000
6,Sri Lanka,99,6,2000
7,India,99,6,2000
8,West Indies,96,6,2000
9,Zimbabwe,78,6,2000
10,Kenya,36,6,2000
11,Bangladesh,6,6,2000
1,Australia,129,7,2000
2,South Africa,116,7,2000
3,New Zealand,108,7,2000
4,Pakistan,107,7,2000
5,Sri Lanka,105,7,2000
6,England,101,7,2000
7,India,98,7,2000
8,West Indies,91,7,2000
9,Zimbabwe,81,7,2000
10,Kenya,32,7,2000
11,Bangladesh,3,7,2000
1,Australia,128,8,2000
2,South Africa,118,8,2000
3,Pakistan,109,8,2000
4,Sri Lanka,105,8,2000
5,New Zealand,104,8,2000
6,England,101,8,2000
7,India,98,8,2000
8,West Indies,91,8,2000
9,Zimbabwe,80,8,2000
10,Kenya,32,8,2000
11,Bangladesh,3,8,2000
1,Australia,128,9,2000
2,South Africa,118,9,2000
3,Pakistan,109,9,2000
4,Sri Lanka,105,9,2000
5,England,101,9,2000
6,India,98,9,2000
7,New Zealand,97,9,2000
8,West Indies,91,9,2000
9,Zimbabwe,85,9,2000
10,Kenya,32,9,2000
11,Bangladesh,3,9,2000
1,Australia,125,10,2000
2,South Africa,120,10,2000
3,Sri Lanka,110,10,2000
4,Pakistan,109,10,2000
5,India,100,10,2000
6,New Zealand,99,10,2000
7,England,99,10,2000
8,West Indies,89,10,2000
9,Zimbabwe,80,10,2000
10,Kenya,31,10,2000
11,Bangladesh,2,10,2000
1,Australia,125,11,2000
2,South Africa,121,11,2000
3,Sri Lanka,110,11,2000
4,Pakistan,109,11,2000
5,India,100,11,2000
6,England,99,11,2000
7,New Zealand,98,11,2000
8,West Indies,89,11,2000
9,Zimbabwe,80,11,2000
10,Kenya,31,11,2000
11,Bangladesh,2,11,2000
1,Australia,125,0,2001
2,South Africa,123,0,2001
3,Pakistan,109,0,2001
4,Sri Lanka,108,0,2001
5,India,101,0,2001
6,England,99,0,2001
7,New Zealand,95,0,2001
8,West Indies,89,0,2001
9,Zimbabwe,81,0,2001
10,Kenya,31,0,2001
11,Bangladesh,2,0,2001
1,Australia,128,1,2001
2,South Africa,124,1,2001
3,Pakistan,109,1,2001
4,Sri Lanka,108,1,2001
5,India,101,1,2001
